Posisi;Nm_Brg;Depth;Level;No_Batch;x1;x2;x3;x4;x5;x6;x7;x8;y1;y2;y3;y4;y5;y6;y7;y8;z1;z2;z3;z4;z5;z6;z7;z8
AA.42;0052 - WANKAI;5;BW_3;240123;41,00;41,00;41,00;41,00;41,95;41,95;41,95;41,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.47;0052 - WANKAI;5;BW_3;240123;46,00;46,00;46,00;46,00;46,95;46,95;46,95;46,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.48;0052 - WANKAI;9;BW_5;240130;47,00;47,00;47,00;47,00;47,95;47,95;47,95;47,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.49;0052 - WANKAI;9;BW_5;240130;48,00;48,00;48,00;48,00;48,95;48,95;48,95;48,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.50;0052 - WANKAI;5;BW_3;240129;49,00;49,00;49,00;49,00;49,95;49,95;49,95;49,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.51;0052 - WANKAI;7;BW_4;240130;50,00;50,00;50,00;50,00;50,95;50,95;50,95;50,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.52;0052 - WANKAI;9;BW_5;240130;51,00;51,00;51,00;51,00;51,95;51,95;51,95;51,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.52;0052 - WANKAI;10;AT_5;240129;51,00;51,00;51,00;51,00;51,95;51,95;51,95;51,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.53;0052 - WANKAI;5;BW_3;240129;52,00;52,00;52,00;52,00;52,95;52,95;52,95;52,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.54;0052 - WANKAI;5;BW_3;240131;53,00;53,00;53,00;53,00;53,95;53,95;53,95;53,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.55;0052 - WANKAI;9;BW_5;240131;54,00;54,00;54,00;54,00;54,95;54,95;54,95;54,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.55;0052 - WANKAI;10;AT_5;240130;54,00;54,00;54,00;54,00;54,95;54,95;54,95;54,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.56;0052 - WANKAI;5;BW_3;240130;55,00;55,00;55,00;55,00;55,95;55,95;55,95;55,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
